,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
87331,124291,Male,Loyal Customer,44,Business travel,Business,601,3,3,3,3,4,4,4,5,5,5,5,3,5,5,0,0,satisfied
87332,5784,Female,Loyal Customer,47,Business travel,Business,3169,4,4,4,4,4,5,5,4,4,4,5,4,4,3,2,3,satisfied
87333,62816,Female,Loyal Customer,69,Personal Travel,Eco,2486,4,3,4,1,2,5,3,3,3,4,3,1,3,4,4,16,neutral or dissatisfied
87334,42546,Male,Loyal Customer,40,Business travel,Business,2493,2,3,3,3,5,3,3,2,2,2,2,4,2,4,1,0,neutral or dissatisfied
87335,121156,Female,Loyal Customer,15,Business travel,Business,2402,2,2,2,2,2,2,2,4,3,3,3,2,4,2,2,24,neutral or dissatisfied
87336,37691,Male,Loyal Customer,40,Personal Travel,Eco,1005,2,5,1,2,3,1,1,3,5,3,4,5,5,3,91,97,neutral or dissatisfied
87337,128711,Male,Loyal Customer,61,Business travel,Business,2242,2,2,2,2,4,4,5,2,2,2,2,4,2,4,0,0,satisfied
87338,118554,Male,Loyal Customer,53,Business travel,Business,370,2,2,4,2,2,4,4,4,4,4,4,5,4,4,1,13,satisfied
87339,9969,Male,Loyal Customer,69,Personal Travel,Eco,357,3,5,3,3,4,3,5,4,3,5,4,3,4,4,0,0,neutral or dissatisfied
87340,67261,Male,Loyal Customer,68,Personal Travel,Eco,985,2,5,2,3,5,2,4,5,4,3,5,5,5,5,1,0,neutral or dissatisfied
87341,58499,Male,Loyal Customer,34,Business travel,Business,719,2,3,3,3,1,2,3,2,2,2,2,1,2,4,1,0,neutral or dissatisfied
87342,29404,Female,Loyal Customer,64,Personal Travel,Eco,2404,3,3,3,2,3,2,2,4,2,2,2,2,4,2,0,21,neutral or dissatisfied
87343,129059,Female,Loyal Customer,28,Personal Travel,Eco,1744,1,5,1,2,2,1,2,2,5,2,5,5,4,2,0,0,neutral or dissatisfied
87344,56035,Male,disloyal Customer,22,Business travel,Eco,1121,2,2,2,3,2,5,1,1,4,2,4,1,4,1,14,46,neutral or dissatisfied
87345,29084,Female,Loyal Customer,51,Personal Travel,Eco,956,3,4,3,2,4,4,5,3,3,3,3,4,3,3,9,12,neutral or dissatisfied
87346,36173,Female,Loyal Customer,39,Business travel,Business,2749,2,2,2,2,4,4,3,4,4,4,4,2,4,1,0,0,satisfied
87347,38929,Male,Loyal Customer,25,Personal Travel,Eco,298,2,5,2,3,1,2,5,1,3,5,4,5,4,1,0,0,neutral or dissatisfied
87348,58257,Female,Loyal Customer,55,Business travel,Business,2072,1,1,1,1,5,5,4,5,5,5,5,3,5,3,60,44,satisfied
87349,9524,Female,Loyal Customer,26,Personal Travel,Business,296,1,3,5,4,5,5,5,5,1,3,4,4,4,5,24,0,neutral or dissatisfied
87350,58581,Female,disloyal Customer,32,Business travel,Business,403,4,4,4,2,2,4,2,2,3,4,4,4,5,2,16,12,neutral or dissatisfied
87351,18204,Male,Loyal Customer,54,Business travel,Eco,228,4,3,3,3,4,4,4,4,3,3,2,4,1,4,71,91,satisfied
87352,32301,Female,Loyal Customer,39,Business travel,Eco,101,2,5,5,5,2,2,2,2,1,1,1,1,4,2,0,0,neutral or dissatisfied
87353,41666,Female,Loyal Customer,25,Business travel,Eco,936,3,2,2,2,3,2,1,3,4,1,2,3,3,3,3,0,neutral or dissatisfied
87354,117598,Female,disloyal Customer,20,Business travel,Eco,347,2,2,2,2,1,2,1,1,1,4,3,3,3,1,52,51,neutral or dissatisfied
87355,16363,Male,Loyal Customer,46,Personal Travel,Eco,319,3,3,3,1,2,3,2,2,3,4,5,3,4,2,0,2,neutral or dissatisfied
87356,78573,Male,Loyal Customer,42,Business travel,Eco,630,3,2,1,1,3,3,3,3,1,2,4,2,3,3,0,0,neutral or dissatisfied
87357,83368,Female,Loyal Customer,58,Business travel,Business,2616,2,2,4,2,3,5,4,5,5,5,5,3,5,4,0,0,satisfied
87358,36466,Female,disloyal Customer,48,Business travel,Eco Plus,867,3,3,3,3,5,3,5,5,4,4,3,5,5,5,0,0,neutral or dissatisfied
87359,34287,Female,Loyal Customer,51,Business travel,Eco,96,4,2,2,2,2,4,3,4,4,4,4,3,4,2,0,0,satisfied
87360,68501,Male,Loyal Customer,10,Personal Travel,Eco,1303,2,4,2,4,1,2,1,1,3,4,4,4,4,1,14,0,neutral or dissatisfied
87361,31530,Male,Loyal Customer,40,Personal Travel,Eco,967,2,5,2,1,5,2,3,5,3,4,4,4,4,5,92,108,neutral or dissatisfied
87362,123458,Male,Loyal Customer,27,Business travel,Business,2125,5,5,5,5,4,4,4,4,3,2,5,5,5,4,6,0,satisfied
87363,1971,Female,Loyal Customer,36,Personal Travel,Eco,351,1,4,2,3,3,2,4,3,3,2,4,5,4,3,6,9,neutral or dissatisfied
87364,98937,Female,Loyal Customer,34,Business travel,Business,3497,1,1,1,1,2,5,4,5,5,5,5,4,5,5,12,0,satisfied
87365,118165,Female,Loyal Customer,49,Business travel,Business,1444,1,1,1,1,2,5,5,4,4,4,4,4,4,3,14,5,satisfied
87366,103127,Male,Loyal Customer,15,Personal Travel,Eco,687,3,4,3,4,2,3,2,2,4,2,5,4,5,2,19,19,neutral or dissatisfied
87367,114032,Male,Loyal Customer,48,Business travel,Business,1750,5,5,5,5,4,4,5,4,4,4,4,5,4,4,13,14,satisfied
87368,124552,Female,disloyal Customer,27,Business travel,Business,1276,4,4,4,3,2,4,2,2,5,2,5,3,5,2,0,0,neutral or dissatisfied
87369,104412,Male,Loyal Customer,59,Business travel,Business,2435,3,3,3,3,2,5,4,5,5,5,5,5,5,5,0,0,satisfied
87370,806,Male,Loyal Customer,42,Business travel,Business,1538,3,3,3,3,1,3,3,3,3,3,3,1,3,4,0,1,neutral or dissatisfied
87371,117430,Male,Loyal Customer,33,Business travel,Eco Plus,1460,3,1,3,1,3,3,3,3,2,1,3,2,3,3,45,33,neutral or dissatisfied
87372,126890,Female,Loyal Customer,67,Personal Travel,Eco,2125,2,5,1,2,1,3,1,3,3,1,3,3,3,4,0,1,neutral or dissatisfied
87373,125934,Female,Loyal Customer,69,Personal Travel,Eco,992,2,5,2,2,2,4,5,5,5,2,5,5,5,3,31,14,neutral or dissatisfied
87374,59410,Male,Loyal Customer,37,Personal Travel,Eco,2447,4,3,4,2,1,4,1,1,4,1,2,2,3,1,0,0,neutral or dissatisfied
87375,27776,Male,Loyal Customer,22,Business travel,Business,909,4,4,4,4,3,4,3,3,3,5,1,1,5,3,1,0,satisfied
87376,21788,Male,Loyal Customer,70,Business travel,Business,1611,3,5,5,5,3,3,2,3,3,3,3,1,3,3,3,1,neutral or dissatisfied
87377,10175,Male,disloyal Customer,22,Business travel,Eco,166,4,0,4,1,2,4,2,2,4,3,4,4,5,2,0,0,satisfied
87378,26075,Female,Loyal Customer,49,Business travel,Business,591,2,2,2,2,4,4,5,5,5,5,5,3,5,2,11,5,satisfied
87379,9663,Female,Loyal Customer,56,Business travel,Business,3805,5,5,5,5,5,5,5,5,3,4,5,5,3,5,167,157,satisfied
87380,110796,Male,disloyal Customer,57,Business travel,Eco,590,3,4,3,4,2,3,2,2,2,1,4,3,3,2,20,9,neutral or dissatisfied
87381,113845,Female,Loyal Customer,41,Business travel,Business,1334,2,2,2,2,2,4,4,4,4,4,4,4,4,5,0,0,satisfied
87382,18970,Female,Loyal Customer,65,Personal Travel,Eco Plus,448,3,4,3,1,3,4,4,5,5,3,5,4,5,3,0,0,neutral or dissatisfied
87383,20827,Male,Loyal Customer,28,Business travel,Business,515,3,5,5,5,3,3,3,3,2,1,1,3,3,3,181,196,neutral or dissatisfied
87384,99519,Male,Loyal Customer,39,Business travel,Business,3576,0,1,1,4,5,4,5,2,2,2,2,4,2,3,19,30,satisfied
87385,107224,Male,Loyal Customer,31,Business travel,Eco,1751,3,4,1,4,3,3,3,3,2,2,2,2,4,3,14,19,neutral or dissatisfied
87386,15,Male,Loyal Customer,52,Personal Travel,Eco,853,2,4,2,4,2,2,2,2,3,3,5,3,5,2,0,0,neutral or dissatisfied
87387,104660,Male,disloyal Customer,23,Business travel,Eco,641,4,3,4,3,4,4,4,4,4,1,3,3,3,4,0,0,neutral or dissatisfied
87388,109290,Male,Loyal Customer,52,Business travel,Business,3017,4,4,4,4,3,5,4,4,4,4,4,5,4,5,46,28,satisfied
87389,43687,Female,Loyal Customer,30,Business travel,Eco,196,1,2,2,2,1,1,1,1,2,5,3,1,4,1,0,0,neutral or dissatisfied
87390,11203,Female,Loyal Customer,15,Personal Travel,Eco,429,2,2,2,4,5,2,5,5,2,2,3,2,4,5,0,0,neutral or dissatisfied
87391,90412,Female,Loyal Customer,42,Business travel,Business,3923,2,2,2,2,3,5,5,4,4,4,4,5,4,4,1,0,satisfied
87392,119823,Male,disloyal Customer,20,Business travel,Eco,912,2,3,3,4,5,3,5,5,2,3,3,2,4,5,0,0,neutral or dissatisfied
87393,128018,Female,Loyal Customer,44,Business travel,Business,1440,4,4,4,4,5,4,4,4,4,4,4,3,4,3,0,0,satisfied
87394,4783,Female,Loyal Customer,38,Business travel,Eco,403,1,3,3,3,1,1,1,1,2,3,4,4,3,1,0,0,neutral or dissatisfied
87395,115946,Female,Loyal Customer,23,Personal Travel,Eco,362,3,4,4,4,4,4,4,4,3,4,5,3,4,4,18,13,neutral or dissatisfied
87396,27090,Male,disloyal Customer,33,Business travel,Business,1721,1,1,1,3,3,1,3,3,4,3,3,4,4,3,4,0,neutral or dissatisfied
87397,60689,Male,Loyal Customer,43,Business travel,Business,1605,3,3,3,3,5,4,5,2,2,2,2,4,2,4,11,20,satisfied
87398,110949,Female,Loyal Customer,25,Business travel,Business,3699,4,4,2,4,4,4,4,4,5,5,4,4,5,4,0,0,satisfied
87399,57673,Female,Loyal Customer,18,Personal Travel,Eco Plus,200,4,5,0,4,1,0,1,1,1,4,5,3,3,1,0,0,neutral or dissatisfied
87400,39873,Female,Loyal Customer,44,Personal Travel,Eco,272,2,0,2,3,2,4,5,4,4,2,4,3,4,4,0,1,neutral or dissatisfied
87401,42896,Male,Loyal Customer,23,Business travel,Business,3183,3,3,3,3,5,5,5,5,3,5,4,4,5,5,0,0,satisfied
87402,49538,Male,Loyal Customer,42,Business travel,Business,3326,3,3,3,3,5,4,2,5,5,5,5,3,5,3,0,0,satisfied
87403,65994,Female,Loyal Customer,7,Personal Travel,Eco Plus,1372,2,5,2,4,5,2,5,5,3,5,4,3,4,5,9,0,neutral or dissatisfied
87404,112720,Female,Loyal Customer,13,Personal Travel,Eco,672,2,5,2,3,2,2,4,2,3,4,4,3,4,2,55,51,neutral or dissatisfied
87405,2848,Female,disloyal Customer,23,Business travel,Business,491,0,5,0,5,2,0,2,2,4,4,4,3,4,2,8,4,satisfied
87406,75033,Male,Loyal Customer,45,Personal Travel,Eco,236,4,5,4,3,1,4,1,1,4,5,5,5,4,1,0,0,neutral or dissatisfied
87407,122740,Female,disloyal Customer,28,Business travel,Business,651,2,1,1,4,4,1,4,4,4,5,4,5,4,4,0,0,neutral or dissatisfied
87408,5722,Female,Loyal Customer,67,Personal Travel,Eco,299,3,5,3,3,4,5,4,1,1,3,1,4,1,5,0,0,neutral or dissatisfied
87409,95620,Male,Loyal Customer,66,Personal Travel,Eco,756,1,4,1,2,2,1,2,2,5,5,4,4,5,2,0,0,neutral or dissatisfied
87410,31549,Female,Loyal Customer,42,Personal Travel,Eco,967,3,5,3,2,5,4,4,5,5,3,5,4,5,4,64,73,neutral or dissatisfied
87411,65111,Male,Loyal Customer,38,Personal Travel,Eco,247,1,5,0,1,4,0,4,4,5,2,4,4,4,4,0,0,neutral or dissatisfied
87412,72794,Female,Loyal Customer,51,Business travel,Business,2598,4,5,5,5,4,3,4,4,4,4,4,4,4,4,9,26,neutral or dissatisfied
87413,48689,Female,disloyal Customer,20,Business travel,Business,134,5,3,5,1,3,3,3,3,3,3,4,4,4,3,0,7,satisfied
87414,8536,Female,Loyal Customer,55,Business travel,Business,109,0,4,0,3,5,4,4,5,5,5,5,3,5,3,0,10,satisfied
87415,17794,Female,disloyal Customer,27,Business travel,Eco,1214,1,1,1,2,3,1,3,3,2,2,2,3,3,3,62,59,neutral or dissatisfied
87416,70520,Female,Loyal Customer,56,Business travel,Business,3758,4,4,4,4,5,4,5,5,5,5,5,5,5,4,0,0,satisfied
87417,52586,Female,Loyal Customer,37,Business travel,Eco,160,5,5,5,5,5,5,5,5,5,1,1,1,1,5,0,0,satisfied
87418,64194,Male,Loyal Customer,58,Business travel,Business,853,5,5,1,5,5,4,5,4,4,4,4,4,4,3,0,0,satisfied
87419,101231,Female,disloyal Customer,25,Business travel,Business,1069,5,4,5,3,5,5,3,5,5,5,5,5,4,5,0,0,satisfied
87420,21645,Male,Loyal Customer,30,Business travel,Eco Plus,780,0,0,0,2,3,0,4,3,3,3,4,5,3,3,117,102,satisfied
87421,53344,Female,disloyal Customer,37,Business travel,Eco,1452,4,4,4,2,5,4,5,5,2,2,3,2,3,5,3,0,neutral or dissatisfied
87422,59626,Male,Loyal Customer,58,Business travel,Business,2453,2,3,3,3,4,2,3,2,2,2,2,2,2,2,122,130,neutral or dissatisfied
87423,21493,Male,Loyal Customer,37,Personal Travel,Eco,399,0,5,0,1,5,0,5,5,4,3,5,4,5,5,0,0,satisfied
87424,57113,Male,Loyal Customer,26,Business travel,Business,3405,2,2,2,2,4,4,4,4,4,5,5,4,4,4,0,0,satisfied
87425,90846,Male,Loyal Customer,51,Business travel,Business,1609,0,0,0,3,4,5,5,3,3,3,3,5,3,5,0,0,satisfied
87426,24779,Female,disloyal Customer,22,Business travel,Eco,447,4,3,4,4,2,4,2,2,5,5,3,1,1,2,0,1,satisfied
87427,26437,Male,Loyal Customer,50,Business travel,Eco,787,4,4,4,4,4,4,4,4,2,1,5,4,3,4,0,2,satisfied
87428,118302,Male,Loyal Customer,28,Business travel,Business,602,1,1,1,1,3,3,3,3,5,3,5,4,4,3,21,28,satisfied
87429,38606,Female,Loyal Customer,33,Business travel,Eco,231,5,1,1,1,5,5,5,5,3,1,3,4,3,5,0,0,satisfied
87430,129645,Female,Loyal Customer,40,Business travel,Business,1757,2,2,2,2,5,5,5,5,5,5,5,5,5,3,0,0,satisfied
87431,91872,Male,Loyal Customer,31,Personal Travel,Eco,2239,2,1,3,3,3,3,3,3,2,4,4,4,4,3,10,0,neutral or dissatisfied
87432,13838,Male,Loyal Customer,17,Personal Travel,Eco,628,1,4,1,5,1,1,1,1,4,3,4,4,5,1,62,49,neutral or dissatisfied
87433,34280,Female,Loyal Customer,38,Business travel,Eco,496,5,2,2,2,5,5,5,5,2,2,2,2,1,5,0,0,satisfied
87434,94964,Male,Loyal Customer,54,Business travel,Eco,148,4,2,2,2,4,4,4,4,2,5,2,2,4,4,50,39,satisfied
87435,70662,Female,Loyal Customer,41,Business travel,Business,447,3,5,2,5,3,4,3,3,3,3,3,2,3,3,10,1,neutral or dissatisfied
87436,128433,Female,Loyal Customer,34,Business travel,Business,370,4,4,4,4,5,5,5,4,4,4,4,3,4,3,0,0,satisfied
87437,70729,Male,Loyal Customer,34,Business travel,Business,675,5,5,4,5,5,5,4,4,4,4,4,2,4,3,0,0,satisfied
87438,1876,Male,Loyal Customer,57,Business travel,Eco,931,4,3,2,2,4,4,4,4,1,5,4,1,3,4,47,66,neutral or dissatisfied
87439,780,Male,Loyal Customer,60,Business travel,Business,113,0,4,0,1,2,5,5,5,5,5,5,5,5,5,0,0,satisfied
87440,121456,Female,Loyal Customer,55,Business travel,Eco,331,5,5,5,5,2,5,1,5,5,5,5,2,5,3,0,6,satisfied
87441,70276,Female,Loyal Customer,59,Business travel,Eco,852,3,3,3,3,1,3,3,3,3,3,3,2,3,2,0,0,neutral or dissatisfied
87442,56326,Male,Loyal Customer,54,Business travel,Business,2541,1,2,2,2,5,4,3,3,3,3,1,1,3,1,14,6,neutral or dissatisfied
87443,18732,Female,Loyal Customer,46,Personal Travel,Business,1167,2,5,2,5,4,5,5,5,5,2,5,5,5,3,0,0,neutral or dissatisfied
87444,106023,Female,Loyal Customer,45,Business travel,Business,3034,4,4,4,4,2,4,4,5,5,5,5,3,5,3,0,0,satisfied
87445,53615,Female,Loyal Customer,39,Business travel,Business,1874,5,5,5,5,4,4,1,4,4,4,4,2,4,3,65,59,satisfied
87446,64229,Male,Loyal Customer,58,Business travel,Business,1660,1,1,1,1,2,4,4,5,5,5,5,4,5,5,1,6,satisfied
87447,128798,Male,Loyal Customer,51,Business travel,Business,2586,3,3,3,3,4,4,4,3,4,5,5,4,3,4,42,27,satisfied
87448,121441,Male,Loyal Customer,36,Business travel,Business,257,4,3,3,3,3,4,3,4,4,4,4,3,4,4,9,19,neutral or dissatisfied
87449,805,Male,Loyal Customer,42,Business travel,Business,1750,1,5,5,5,3,3,3,1,1,1,1,2,1,4,0,5,neutral or dissatisfied
87450,72899,Female,Loyal Customer,50,Business travel,Business,944,1,4,1,1,5,4,4,4,4,4,4,5,4,4,30,24,satisfied
87451,54264,Male,Loyal Customer,18,Personal Travel,Eco,1222,3,4,4,3,3,4,2,3,4,2,4,2,3,3,46,33,neutral or dissatisfied
87452,78454,Male,Loyal Customer,58,Business travel,Business,526,5,5,5,5,5,4,4,2,2,2,2,3,2,4,17,15,satisfied
87453,99480,Female,Loyal Customer,62,Business travel,Eco,283,3,5,5,5,2,3,3,3,3,3,3,4,3,1,0,0,neutral or dissatisfied
87454,113311,Male,disloyal Customer,25,Business travel,Business,223,1,5,1,3,3,1,3,3,3,5,4,4,5,3,0,11,neutral or dissatisfied
87455,13758,Male,Loyal Customer,23,Personal Travel,Eco,384,2,4,2,3,5,2,5,5,1,3,3,4,3,5,37,37,neutral or dissatisfied
87456,96138,Male,Loyal Customer,39,Business travel,Business,3548,2,2,2,2,2,4,5,4,4,4,4,4,4,3,2,0,satisfied
87457,87122,Female,Loyal Customer,52,Personal Travel,Eco,594,1,5,1,5,2,4,3,3,3,1,3,4,3,4,21,10,neutral or dissatisfied
87458,20985,Female,Loyal Customer,66,Personal Travel,Eco,721,1,0,1,3,3,5,4,2,2,1,2,1,2,2,0,20,neutral or dissatisfied
87459,42642,Male,Loyal Customer,67,Personal Travel,Eco,546,4,4,4,1,4,4,4,4,5,2,4,3,4,4,0,0,neutral or dissatisfied
87460,102755,Male,Loyal Customer,57,Personal Travel,Eco Plus,255,2,4,2,3,5,2,5,5,5,5,5,3,4,5,47,43,neutral or dissatisfied
87461,96846,Male,Loyal Customer,43,Business travel,Business,3103,3,1,4,1,3,2,3,3,3,3,3,2,3,1,0,0,neutral or dissatisfied
87462,93403,Female,Loyal Customer,58,Business travel,Business,2131,4,4,4,4,2,5,4,5,5,5,5,3,5,3,18,0,satisfied
87463,94707,Male,Loyal Customer,58,Business travel,Business,2579,4,4,4,4,3,4,5,5,5,5,5,4,5,5,0,0,satisfied
87464,80357,Male,Loyal Customer,37,Business travel,Business,3905,1,1,1,1,5,4,5,5,5,5,5,5,5,5,27,20,satisfied
87465,54719,Male,Loyal Customer,68,Personal Travel,Eco,787,5,5,5,4,5,5,5,5,5,2,4,2,4,5,0,0,satisfied
87466,59913,Male,Loyal Customer,55,Business travel,Business,3249,2,2,3,2,3,5,5,4,4,4,4,3,4,4,0,0,satisfied
87467,129218,Male,Loyal Customer,40,Business travel,Business,1504,4,4,4,4,5,4,4,5,5,4,5,5,5,5,12,4,satisfied
87468,129822,Female,Loyal Customer,62,Personal Travel,Eco,337,3,3,3,3,2,3,4,2,2,3,2,3,2,2,0,0,neutral or dissatisfied
87469,81363,Female,Loyal Customer,79,Business travel,Eco Plus,899,2,3,3,3,5,4,3,2,2,2,2,1,2,3,63,82,neutral or dissatisfied
87470,98332,Female,disloyal Customer,21,Business travel,Eco,1046,2,2,2,4,1,2,1,1,5,3,4,3,4,1,0,0,satisfied
87471,88474,Male,Loyal Customer,34,Business travel,Business,271,3,3,1,1,3,4,3,3,3,3,3,2,3,1,0,0,neutral or dissatisfied
87472,62884,Female,disloyal Customer,19,Business travel,Eco,1244,1,1,1,4,5,1,3,5,2,1,3,3,3,5,0,17,neutral or dissatisfied
87473,65638,Male,disloyal Customer,21,Business travel,Business,237,4,0,4,3,2,4,2,2,3,5,4,5,4,2,0,0,satisfied
87474,91496,Female,disloyal Customer,32,Business travel,Business,391,2,2,2,2,4,2,4,4,3,4,5,4,5,4,0,0,neutral or dissatisfied
87475,35988,Female,Loyal Customer,31,Business travel,Business,2496,5,5,5,5,4,4,4,5,3,4,4,4,1,4,10,0,satisfied
87476,30228,Male,Loyal Customer,21,Business travel,Business,3523,1,1,1,1,4,4,4,4,5,5,5,4,2,4,0,0,satisfied
87477,116627,Male,Loyal Customer,40,Business travel,Business,3212,4,4,4,4,4,4,5,5,5,5,5,4,5,4,0,0,satisfied
87478,86026,Female,Loyal Customer,37,Business travel,Business,154,5,5,5,5,1,2,1,5,5,5,3,3,5,3,0,1,satisfied
87479,100309,Male,Loyal Customer,45,Business travel,Eco,1052,2,1,1,1,2,2,2,2,2,4,4,4,4,2,41,51,neutral or dissatisfied
87480,95777,Male,Loyal Customer,56,Personal Travel,Eco,237,3,4,3,3,5,3,5,5,3,5,4,3,4,5,10,9,neutral or dissatisfied
87481,32198,Female,Loyal Customer,67,Business travel,Eco,163,5,3,3,3,1,2,5,5,5,5,5,3,5,3,0,0,satisfied
87482,77362,Female,disloyal Customer,23,Business travel,Eco,588,2,0,2,1,3,2,3,3,3,2,5,5,4,3,0,0,neutral or dissatisfied
87483,118317,Male,Loyal Customer,67,Business travel,Business,2116,2,2,2,2,2,4,4,2,2,2,2,4,2,2,0,5,neutral or dissatisfied
87484,125801,Male,Loyal Customer,50,Business travel,Business,2001,5,5,5,5,3,4,4,5,5,5,5,4,5,3,0,0,satisfied
87485,75065,Male,Loyal Customer,58,Business travel,Business,2611,2,2,2,2,5,4,5,4,4,4,4,3,4,3,0,0,satisfied
87486,87924,Male,disloyal Customer,20,Business travel,Eco,406,3,5,3,1,5,3,4,5,4,4,4,4,4,5,0,0,neutral or dissatisfied
87487,36062,Female,Loyal Customer,19,Business travel,Business,399,3,5,5,5,3,3,3,3,4,1,4,1,3,3,0,0,neutral or dissatisfied
87488,52103,Female,Loyal Customer,34,Personal Travel,Eco,351,2,5,2,3,4,2,5,4,3,2,5,5,5,4,0,0,neutral or dissatisfied
87489,84061,Female,Loyal Customer,57,Business travel,Business,2907,5,5,4,5,3,5,4,4,4,4,4,4,4,3,22,21,satisfied
87490,97089,Male,disloyal Customer,24,Business travel,Eco,1211,5,5,5,2,5,5,5,5,5,4,4,4,4,5,79,81,satisfied
87491,72366,Female,Loyal Customer,57,Business travel,Business,929,1,1,1,1,3,4,4,5,5,4,5,4,5,5,0,2,satisfied
87492,60580,Male,Loyal Customer,45,Business travel,Business,1558,4,3,3,3,4,4,3,4,4,4,4,4,4,3,0,0,neutral or dissatisfied
87493,35748,Male,Loyal Customer,9,Personal Travel,Eco,1826,4,5,4,4,5,4,5,5,4,4,4,2,1,5,63,41,satisfied
87494,88332,Male,Loyal Customer,34,Business travel,Business,1630,3,1,1,1,3,3,4,3,3,3,3,2,3,3,40,46,neutral or dissatisfied
